longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-121.82,39.75,29,7744,1375,3316,1365,3.0253,111400,INLAND
-121.92,37.68,23,1655,223,706,219,7.2211,291900,<1H OCEAN
-122.04,37.62,35,899,179,455,185,4.2857,190400,NEAR BAY
-122.29,37.81,46,2801,644,1823,611,0.9802,129200,NEAR BAY
-121.99,37.56,18,5505,1005,2641,971,5.0,269700,<1H OCEAN
-120.37,38.23,13,4401,829,924,383,2.6942,123500,INLAND
-121.97,39.79,16,1453,299,904,286,3.5735,89600,INLAND
-121.96,37.71,6,8072,1050,3386,1062,7.2494,336500,<1H OCEAN
-122.36,37.94,27,844,249,583,265,0.9687,105800,NEAR BAY
-121.99,37.55,16,6647,2098,4649,1903,2.9074,213800,<1H OCEAN
-121.65,39.35,24,1003,251,1098,227,1.7552,86400,INLAND
-122.25,37.77,52,2650,566,1468,567,3.0161,215700,NEAR BAY
-121.81,37.99,18,2807,445,1315,437,4.8194,170400,INLAND
-119.54,36.61,20,1490,318,1474,326,1.4937,54700,INLAND
-122.02,37.59,18,1165,333,855,319,3.6923,213200,NEAR BAY
-122.32,37.92,22,1119,220,565,199,3.3594,186900,NEAR BAY
-122.19,39.74,39,4179,814,2111,809,2.3507,65600,INLAND
-121.59,39.86,14,1527,269,665,261,2.8657,119600,INLAND
-120.78,38.72,19,4414,767,1865,699,3.6406,150900,INLAND
-122.07,37.63,35,1931,376,1175,337,3.7292,168100,NEAR BAY
-119.73,36.8,24,1316,249,781,260,3.7578,69200,INLAND
-122.22,37.8,52,2286,464,1073,441,3.0298,199600,NEAR BAY
-122.04,37.97,10,974,316,631,286,2.3152,140600,NEAR BAY
-122.25,37.82,28,3337,855,1520,802,3.9063,225000,NEAR BAY
-122.08,37.61,6,2605,474,1568,433,5.0406,261400,NEAR BAY
-122.06,37.67,22,3882,816,1830,743,4.2733,180700,NEAR BAY
-122.36,37.94,45,907,188,479,161,3.0862,79000,NEAR BAY
-119.69,36.75,6,1926,303,965,316,4.7463,93100,INLAND
-122.09,38.02,37,1742,339,1128,345,3.8824,113700,NEAR BAY
-121.91,38.02,15,2966,558,1687,527,3.4817,129800,INLAND
-122.25,37.85,52,1274,235,558,219,5.6431,341300,NEAR BAY
-122.13,37.72,26,2862,394,1030,397,7.912,367300,NEAR BAY
-122.05,37.68,32,2015,318,1019,340,6.1104,240700,NEAR BAY
-122.16,37.74,47,824,223,533,166,2.625,98200,NEAR BAY
-122.26,37.85,52,2643,626,1212,620,1.9167,159200,NEAR BAY
-119.77,36.74,51,1454,235,729,252,3.3125,70100,INLAND
-121.86,38.04,52,242,59,188,54,1.3958,67500,INLAND
-122.0,38.03,4,2341,408,1235,431,6.0424,165900,INLAND
-121.92,38.01,7,1632,248,879,262,6.1237,166000,INLAND
-119.78,36.76,47,1425,323,949,325,1.7344,51300,INLAND
-119.8,36.72,15,1908,417,1383,375,1.0472,57800,INLAND
-122.25,37.82,52,2474,403,1104,398,5.883,340700,NEAR BAY
-121.95,38.02,9,3360,833,2041,810,2.1013,100700,INLAND
-121.61,37.86,30,1428,287,989,287,3.691,154400,INLAND
-119.61,36.57,42,2242,521,1359,483,1.5833,65100,INLAND
-121.93,37.76,5,2255,269,876,258,10.3345,461400,<1H OCEAN
-119.72,36.8,23,2128,442,1047,450,2.625,71500,INLAND
-122.29,37.89,52,979,175,374,153,5.1675,270600,NEAR BAY
-120.91,38.11,9,3585,680,1800,598,3.636,133100,INLAND
-122.02,37.6,31,2155,522,1858,437,2.652,159800,NEAR BAY
-119.61,36.94,14,863,151,315,135,4.2679,151800,INLAND
-119.77,36.83,19,3237,507,1378,510,4.7804,101100,INLAND
-122.18,37.78,43,1985,440,1085,407,3.4205,136700,NEAR BAY
-122.08,37.71,35,2211,350,1004,365,5.4639,238600,NEAR BAY
-122.06,37.73,5,3596,467,1738,512,7.0568,412500,NEAR BAY
-122.28,37.8,52,96,31,191,34,0.75,162500,NEAR BAY
-122.2,37.82,37,1229,181,420,176,7.0175,366700,NEAR BAY
-122.27,37.9,42,1650,274,645,256,5.6228,375400,NEAR BAY
-122.28,37.96,35,1579,243,734,264,5.5,201000,NEAR BAY
-122.51,39.3,19,1629,386,551,214,1.7463,68800,INLAND
-122.0,37.86,18,8953,1074,3011,993,10.7372,500001,<1H OCEAN
-119.78,36.84,7,4907,1075,2014,909,3.2147,111900,INLAND
-122.04,37.6,17,3314,638,1873,602,4.3875,238500,NEAR BAY
-119.68,36.81,16,2668,454,1536,457,3.9792,88900,INLAND
-122.25,38.0,16,2978,411,1531,400,6.5006,237700,NEAR BAY
-121.87,38.02,52,2264,439,1403,476,2.7083,99400,INLAND
-122.28,37.86,41,2214,550,1213,568,2.2845,153100,NEAR BAY
-121.53,39.44,26,1340,255,662,239,2.6071,57100,INLAND
-121.52,39.51,30,3085,610,1688,575,2.334,72200,INLAND
-123.83,41.88,18,1504,357,660,258,3.13,116700,<1H OCEAN
-122.15,37.72,29,4169,1047,2024,962,2.8125,157400,NEAR BAY
-119.47,36.69,19,3351,589,1578,542,3.2917,160100,INLAND
-122.13,37.72,45,2315,451,1006,444,3.524,186200,NEAR BAY
-122.26,37.86,52,3497,832,1493,794,2.9044,257400,NEAR BAY
-122.31,37.94,38,1794,349,810,335,3.8343,191400,NEAR BAY
-121.56,39.52,26,1957,429,945,397,1.7308,53600,INLAND
-122.18,37.73,44,548,119,435,136,2.1111,79700,NEAR BAY
-121.84,37.99,15,2380,385,1292,388,4.6029,142600,INLAND
-122.23,37.82,52,3494,396,1192,383,12.3804,500001,NEAR BAY
-121.57,39.5,31,2023,469,1073,436,1.5714,56100,INLAND
-122.37,37.93,37,709,190,644,174,0.8641,84200,NEAR BAY
-119.75,36.8,25,2718,504,1257,465,2.3333,90600,INLAND
-122.08,37.94,44,2185,357,943,366,4.725,232100,NEAR BAY
-119.77,36.74,50,1325,280,811,281,1.8667,62800,INLAND
-119.31,36.63,26,1874,416,1834,432,1.6486,55200,INLAND
-119.82,36.83,16,2868,376,1016,379,6.1175,144700,INLAND
-121.94,37.95,18,2541,355,986,346,7.1978,288000,INLAND
-122.16,37.89,32,1779,241,721,258,8.7589,434500,NEAR BAY
-119.84,36.77,6,1853,473,1397,417,1.4817,72000,INLAND
-120.76,38.12,7,7188,1288,3175,1115,3.8488,130600,INLAND
-120.88,38.16,8,2029,387,1000,364,4.0109,125900,INLAND
-122.1,37.68,37,2116,503,1109,448,2.535,174000,NEAR BAY
-120.56,38.48,14,3545,702,946,411,3.4609,120900,INLAND
-122.23,37.79,52,1783,395,1659,412,2.9357,107900,NEAR BAY
-122.11,37.65,18,4335,808,2041,734,3.4861,331600,NEAR BAY
-122.25,39.79,16,2127,412,1104,369,3.0469,72200,INLAND
-121.8,38.01,44,3184,581,1399,548,2.7234,110200,INLAND
-122.09,37.65,35,1130,192,543,184,4.3897,190600,NEAR BAY
-122.25,37.77,52,1527,320,825,264,3.4531,208800,NEAR BAY
-122.18,37.75,45,990,261,901,260,2.1731,82000,NEAR BAY
-119.84,36.78,24,3242,795,2764,773,1.3385,58800,INLAND
-119.69,36.82,15,3303,512,1687,505,4.81,93600,INLAND
-121.82,39.75,37,2236,372,974,379,3.2016,97000,INLAND
-120.38,36.76,25,991,272,941,262,1.8125,58000,INLAND
-122.04,37.97,39,1323,245,705,261,3.1968,151000,NEAR BAY
-122.12,37.71,38,1164,284,632,289,3.0345,152100,NEAR BAY
-122.0,37.54,26,1910,371,852,357,5.8325,298900,<1H OCEAN
-121.96,37.99,2,3129,707,1606,698,2.9591,210100,INLAND
-119.54,36.52,16,2703,415,1106,372,4.2045,120900,INLAND
-122.26,38.02,5,3846,786,2053,716,5.0473,184800,NEAR BAY
-122.27,37.8,16,994,392,800,362,2.0938,162500,NEAR BAY
-122.13,37.68,45,2457,445,1129,422,4.0588,182800,NEAR BAY
-122.18,37.7,35,2562,554,1398,525,3.3906,178900,NEAR BAY
-122.1,37.63,18,9963,2031,5613,1946,3.8171,187200,NEAR BAY
-119.8,36.72,43,1286,360,972,345,0.9513,50400,INLAND
-121.79,38.0,34,3090,593,1588,566,3.6118,124700,INLAND
